epoch,SigmaMAE,SigmaMSE,logE_MAE,logE_MSE,loss,val_SigmaMAE,val_SigmaMSE,val_logE_MAE,val_logE_MSE,val_loss
0,0.555767834186554,0.4472706913948059,0.7400815486907959,0.8722046613693237,1.421228051185608,0.5041260123252869,0.37858667969703674,0.6984872221946716,0.8065420985221863,1.2672120332717896
1,0.5152016282081604,0.3865191340446472,0.6902931928634644,0.778584897518158,1.094949722290039,0.5091513991355896,0.38072124123573303,0.6766526103019714,0.7612752318382263,1.0840009450912476
2,0.5027786493301392,0.3714924156665802,0.6736900806427002,0.7492892146110535,0.9811587333679199,0.4974167048931122,0.3661476671695709,0.6836985349655151,0.765084981918335,0.9970687031745911
3,0.49614694714546204,0.363681435585022,0.6641718149185181,0.7324581742286682,0.9106075763702393,0.5035058856010437,0.3731997013092041,0.6810505390167236,0.7505592703819275,1.1326199769973755
4,0.49275919795036316,0.3596452474594116,0.659690260887146,0.7244608998298645,0.8771579265594482,0.4977574646472931,0.3653985857963562,0.6389411091804504,0.7090863585472107,0.9874473810195923
5,0.48900407552719116,0.35545605421066284,0.6554961800575256,0.7172989845275879,0.8464500308036804,0.4876558184623718,0.35068246722221375,0.6531067490577698,0.7055626511573792,0.9217703342437744
6,0.48635056614875793,0.352474570274353,0.651854395866394,0.7110015153884888,0.8180632591247559,0.4855572283267975,0.3472016453742981,0.63042813539505,0.6730660200119019,0.9472084045410156
7,0.48414483666419983,0.3500863015651703,0.6488791704177856,0.7059250473976135,0.7953814268112183,0.49280086159706116,0.35978183150291443,0.6406195759773254,0.701994001865387,0.8344894647598267
8,0.4821024239063263,0.34780678153038025,0.6460380554199219,0.7010093927383423,0.776555597782135,0.48615384101867676,0.34718307852745056,0.6624562740325928,0.7095633745193481,1.5168077945709229
9,0.4811808466911316,0.3467805087566376,0.6444169282913208,0.6983770132064819,0.7645519971847534,0.4825745224952698,0.34563592076301575,0.639823317527771,0.6832386255264282,0.826145350933075
10,0.47969162464141846,0.345159113407135,0.6428183913230896,0.6954146027565002,0.7495719790458679,0.4840947687625885,0.3478347361087799,0.6387165784835815,0.6898123621940613,2.713588237762451
11,0.47836264967918396,0.34358224272727966,0.6413145065307617,0.6928013563156128,0.7379453182220459,0.47904086112976074,0.34145721793174744,0.6386077404022217,0.6822512745857239,0.7851535677909851
12,0.47694045305252075,0.34206318855285645,0.639661431312561,0.6897730827331543,0.726524293422699,0.47938504815101624,0.34023797512054443,0.6260417103767395,0.6608762741088867,2.031399965286255
13,0.4782732129096985,0.3435838222503662,0.6408275365829468,0.6921427845954895,0.735135555267334,0.4885185658931732,0.35398298501968384,0.6387003064155579,0.6908860206604004,0.8989272117614746
14,0.47628945112228394,0.34127065539360046,0.6385825276374817,0.6881195306777954,0.7157838344573975,0.47618168592453003,0.33769792318344116,0.6332616209983826,0.6727326512336731,0.9663422703742981
15,0.4747221767902374,0.339530348777771,0.6361790299415588,0.6839845776557922,0.6985280513763428,0.4725774824619293,0.3334212899208069,0.6315695643424988,0.6655927300453186,0.7671147584915161
16,0.4762587547302246,0.34142497181892395,0.6383252143859863,0.6879703998565674,0.7140931487083435,0.4807562232017517,0.34465476870536804,0.6368364691734314,0.681684672832489,0.816912829875946
17,0.4742170572280884,0.3391304910182953,0.6358605623245239,0.6834853887557983,0.6944594383239746,0.474962055683136,0.34008947014808655,0.6368926763534546,0.6842683553695679,0.7109543085098267
18,0.4727131128311157,0.3372739255428314,0.6341487765312195,0.6803345680236816,0.6797828674316406,0.47350379824638367,0.33645281195640564,0.6360073089599609,0.6786900758743286,0.7162512540817261
19,0.47216781973838806,0.33677157759666443,0.6335285305976868,0.6793347597122192,0.6749779582023621,0.4740740954875946,0.337126225233078,0.6283704042434692,0.6669290065765381,0.7202103734016418
20,0.47176387906074524,0.3362712860107422,0.6329206228256226,0.678284227848053,0.6697202324867249,0.47439536452293396,0.3382405936717987,0.6335886716842651,0.6765343546867371,1.9616961479187012
21,0.4713931679725647,0.3358630836009979,0.6323164701461792,0.6772586107254028,0.6652761101722717,0.4740516245365143,0.3375306725502014,0.6316817998886108,0.6737226843833923,0.9851408004760742
22,0.47099095582962036,0.33543527126312256,0.632194995880127,0.6768771409988403,0.6624031066894531,0.47259411215782166,0.3352918028831482,0.6295034289360046,0.6673691868782043,0.7067681550979614
23,0.47070252895355225,0.3351331353187561,0.6317850351333618,0.676188588142395,0.6588435769081116,0.47336500883102417,0.33693456649780273,0.6306907534599304,0.6728634834289551,1.9299453496932983
24,0.47032931447029114,0.3347295820713043,0.6314159631729126,0.6753978133201599,0.6559569239616394,0.4711955785751343,0.33413296937942505,0.6287341117858887,0.6675805449485779,0.9497959613800049
25,0.4702872037887573,0.33466702699661255,0.6311554908752441,0.6751943230628967,0.6538326144218445,0.47223973274230957,0.3346194922924042,0.6291899085044861,0.6665301322937012,0.7018948197364807
26,0.4699302613735199,0.3343571424484253,0.6311964988708496,0.6752142906188965,0.6516481041908264,0.4727171063423157,0.33553558588027954,0.6272340416908264,0.6662213802337646,2.384829521179199
27,0.4698188304901123,0.3342333137989044,0.6309223175048828,0.6748331189155579,0.649510383605957,0.4728895127773285,0.33628103137016296,0.6255548000335693,0.6654160618782043,0.6768932938575745
28,0.46970877051353455,0.3341211676597595,0.630584716796875,0.674183189868927,0.6482981443405151,0.47235268354415894,0.3357468843460083,0.6290836930274963,0.669438362121582,2.5197160243988037
29,0.46944665908813477,0.3338266909122467,0.6305517554283142,0.674060046672821,0.6468020677566528,0.47204217314720154,0.33495789766311646,0.6280021071434021,0.6672520041465759,0.6904289126396179
30,0.46936658024787903,0.33373895287513733,0.630506694316864,0.674023449420929,0.6459397077560425,0.47161516547203064,0.334688276052475,0.6295024156570435,0.6688162684440613,0.7355168461799622
31,0.4692825675010681,0.3336520195007324,0.6303752660751343,0.673753023147583,0.6452882885932922,0.47152888774871826,0.3345094919204712,0.6289858222007751,0.6682996153831482,1.1473689079284668
32,0.4692334234714508,0.33364102244377136,0.6302056908607483,0.6735314130783081,0.6437237858772278,0.4710274040699005,0.3341085612773895,0.6286594867706299,0.6674578785896301,2.68666672706604
